PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
13014-10000-00879,1 or 2 Family Dwelling,3/13/2013,"$49,000.00 "
12010-20000-02045,1 or 2 Family Dwelling,1/14/2014,"$105,000.00 "
13014-10000-01497,1 or 2 Family Dwelling,5/6/2013,"$30,000.00 "
16010-20000-00373,1 or 2 Family Dwelling,4/14/2016,"$3,500,000.00 "
14014-20000-04661,1 or 2 Family Dwelling,5/18/2015,"$120,000.00 "
13010-10000-04145,1 or 2 Family Dwelling,12/24/2013,"$27,720.00 "
14014-10000-02357,Apartment,8/14/2014,"$3,000.00 "
15010-30000-00943,1 or 2 Family Dwelling,6/1/2015,"$800,000.00 "
13010-10000-00899,1 or 2 Family Dwelling,6/25/2013,"$27,500.00 "
15014-70000-03750,1 or 2 Family Dwelling,9/2/2015,"$40,000.00 "
13010-10000-02276,1 or 2 Family Dwelling,8/21/2013,"$20,900.00 "
14010-10000-01202,Commercial,9/25/2015,"$26,250,000.00 "
13010-10000-03178,Apartment,10/8/2015,"$455,565.00 "
15010-20000-02161,1 or 2 Family Dwelling,11/24/2015,"$685,000.00 "
12014-20000-02425,1 or 2 Family Dwelling,8/7/2013,"$10,000.00 "
